Hari,Harga Bitcoin,Prediksi LSTM,Prediksi ARIMA,Selisih LSTM ($),Error LSTM (%),Selisih ARIMA ($),Error ARIMA (%)
1,30620.77,31679.64,30590.08,1058.87,3.46,30.69,0.1
2,31156.44,31725.32,30620.77,568.88,1.83,535.67,1.72
3,30777.58,32214.93,31156.44,1437.35,4.67,378.86,1.23
4,30514.17,31951.23,30777.58,1437.06,4.71,263.42,0.86
5,29909.34,31675.18,30514.17,1765.85,5.9,604.83,2.02
6,30342.27,31080.48,29909.34,738.21,2.43,432.93,1.43
7,30292.54,31366.74,30342.27,1074.2,3.55,49.72,0.16
8,30171.23,31367.24,30292.54,1196.01,3.96,121.31,0.4
9,30414.47,31268.83,30171.23,854.36,2.81,243.24,0.8
10,30620.95,31472.48,30414.47,851.53,2.78,206.48,0.67
11,30391.65,31692.29,30620.95,1300.64,4.28,229.3,0.75
12,31476.05,31526.7,30391.65,50.66,0.16,1084.4,3.45
13,30334.07,32476.56,31476.05,2142.49,7.06,1141.98,3.76
14,30295.81,31597.81,30334.07,1302.0,4.3,38.26,0.13
15,30249.13,31430.06,30295.81,1180.93,3.9,46.67,0.15
16,30145.89,31343.7,30249.13,1197.82,3.97,103.24,0.34
17,29856.56,31238.32,30145.89,1381.76,4.63,289.33,0.97
18,29913.92,30964.82,29856.56,1050.89,3.51,57.36,0.19
19,29792.02,30972.37,29913.92,1180.35,3.96,121.91,0.41
20,29908.74,30865.97,29792.02,957.22,3.2,116.73,0.39
21,29771.8,30957.09,29908.74,1185.29,3.98,136.94,0.46
22,30084.54,30852.9,29771.8,768.36,2.55,312.74,1.04
23,29176.92,31118.25,30084.54,1941.34,6.65,907.62,3.11
24,29227.39,30355.68,29176.92,1128.29,3.86,50.47,0.17
25,29354.97,30273.65,29227.39,918.68,3.13,127.58,0.43
26,29210.69,30365.96,29354.97,1155.27,3.95,144.28,0.49
27,29319.25,30260.42,29210.69,941.17,3.21,108.56,0.37
28,29356.92,30344.12,29319.25,987.2,3.36,37.67,0.13
29,29275.31,30394.01,29356.92,1118.7,3.82,81.61,0.28
30,29230.11,30333.72,29275.31,1103.6,3.78,45.2,0.15
31,29675.73,30284.43,29230.11,608.7,2.05,445.62,1.5
32,29151.96,30671.26,29675.73,1519.31,5.21,523.77,1.8
33,29178.68,30273.73,29151.96,1095.05,3.75,26.72,0.09
34,29074.09,30231.81,29178.68,1157.72,3.98,104.59,0.36
35,29042.13,30125.7,29074.09,1083.58,3.73,31.96,0.11
36,29041.86,30080.27,29042.13,1038.42,3.58,0.27,0.0
37,29180.58,30072.81,29041.86,892.23,3.06,138.72,0.48
38,29765.49,30196.07,29180.58,430.58,1.45,584.91,1.97
39,29561.49,30738.91,29765.49,1177.41,3.98,204.0,0.69
40,29429.59,30654.04,29561.49,1224.45,4.16,131.9,0.45
41,29397.71,30525.65,29429.59,1127.94,3.84,31.88,0.11
42,29415.96,30468.68,29397.71,1052.71,3.58,18.25,0.06
43,29282.91,30471.16,29415.96,1188.25,4.06,133.05,0.45
44,29408.44,30352.32,29282.91,943.88,3.21,125.53,0.43
45,29170.35,30443.12,29408.44,1272.78,4.36,238.1,0.82
46,28701.78,30246.78,29170.35,1545.01,5.38,468.57,1.63
47,26664.55,29799.69,28701.78,3135.14,11.76,2037.23,7.64
48,26049.56,27934.42,26664.55,1884.86,7.24,614.99,2.36
49,26096.21,27055.47,26049.56,959.26,3.68,46.65,0.18
50,26189.58,26922.93,26096.21,733.35,2.8,93.38,0.36
51,26124.14,26996.17,26189.58,872.03,3.34,65.44,0.25
52,26031.66,26977.66,26124.14,946.0,3.63,92.48,0.36
53,26431.64,26911.54,26031.66,479.9,1.82,399.98,1.51
54,26162.37,27252.33,26431.64,1089.95,4.17,269.27,1.03
55,26047.67,27097.19,26162.37,1049.53,4.03,114.71,0.44
56,26008.46,26973.56,26047.67,965.1,3.71,39.21,0.15
57,26089.69,26914.38,26008.46,824.69,3.16,81.23,0.31
58,26106.15,26973.14,26089.69,866.99,3.32,16.46,0.06
59,27727.39,27001.04,26106.15,726.35,2.62,1621.24,5.85
60,27297.27,28410.18,27727.39,1112.91,4.08,430.13,1.58
61,25931.47,28316.21,27297.27,2384.74,9.2,1365.79,5.27
62,25800.72,27122.7,25931.47,1321.97,5.12,130.75,0.51
63,25868.8,26759.56,25800.72,890.76,3.44,68.07,0.26
